,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,place_id,user_id,score,comment
0,0,0,0,곽암,전찬오,5.0,
1,1,1,1,곽암,이상훈,5.0,주소보고 터짐ㅋㅋㅋ
2,2,2,2,곽암,D - 0,5.0,와우
3,3,3,3,곽암,chuldo,5.0,주소가 바다 속 ㅋㅋㅋ
