,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,place_id,user_id,score,comment
0,0,0,0,언양읍성안내소,D - 0,4.0,굿
1,1,1,1,언양읍성안내소,강태석,1.0,
